TrainAveLoss,PubtestAveLoss,PritestAveLoss
0.30680447,287.3104248,258.7462158
0.155418728,0.241696417,0.450427353
0.158960484,0.144319072,0.123628929
0.123853168,0.336519837,0.302225173
0.118411944,0.140985236,0.133298874
0.190198436,0.169126227,0.146130741
0.126671177,0.08156132,0.072450466
0.151971349,0.081499316,0.063678563
0.148761204,0.096467413,0.107617393
0.153987588,0.075791538,0.062951237
